kaufen;gekauft;haben
früstucken;gefrühstückt;haben
lernen;gelernt;haben
lachen;gelacht;haben
reden;geredet;haben
sagen;gesagt;haben
machen;gemacht;haben
üben;geübt;haben
meinen;gemeint;haben
arbeiten;gearbeitet;haben
einkaufen;eingekauft;haben
fotografieren;fotografiert;haben
studieren;studiert;haben
telefonieren;telefoniert;haben
einladen;eingeladen;haben
fernsehen;ferngesehen;haben
spechen;gesprochen;haben
essen;gegessen;haben
trinken;getrunken;haben
schreiben;geschrieben;haben
anrufen;angerufen;haben
einsteigen;eingestiegen;sein
aussteigen;ausgestiegen;sein
ankommen;angekommen;sein
aufwachen;aufgewacht;sein
fahren;gefahren;sein
fliegen;geflogen;sein
aufstehen;aufgestanden;sein